id,name,name_en,brand,group,device,price_exec,price_bill,sap,tags
KS-N-75,하이드림_모니터,HiDream monitor,IT,,IT장비,352000,704000,,
KS-N-76,하이드림_PC,HiDream PC,IT,,IT장비,572000,1144000,,
KS-N-77,하이드림_일체형,HiDream AIO,IT,,IT장비,858000,1760000,,
KS-N-78,고려디지웍스_모니터,,IT,,IT장비,1023000,1320000,,
KS-N-79,스마트로 단말기,Smartro terminal,IT,,IT장비,305000,,,
KS-N-80,KS net 단말기,,IT,,IT장비,44000,88000,,
KS-N-81,KS net 단말기 소켓,,IT,,IT장비,11000,33000,,
KS-N-82,드라이브 모터,drive motor,공용,,,,,,,
KS-N-83,버너센서,burner sensor,공용,,건조기,,,,
KS-N-84,AB케이블,AB cable,IT,,IT장비,,,,
KS-N-85,전원 어댑터,power adapter,IT,,IT장비,,,,
KS-N-86,랜 케이블,LAN cable,IT,,IT장비,,,,
KS-N-87,랜 커넥터,LAN connector,IT,,IT장비,70,,,
KS-N-88,WB_공용_에어댐퍼,air damper,우방,공용,건조기,,12000,,
KS-N-89,팬모터 인버터,fan motor inverter,공용,,건조기,,,,
KS-N-90,인버터,inverter,공용,,,,,,,
KS-N-91,내통,inner drum,공용,,세탁기,,,,
KS-N-92,도어씰,door seal,공용,,,,,,,
KS-N-93,타일자재,,서비스,자재,,실행가,실행가,,
KS-N-94,메인 차단기,main breaker,공용,,,12100,16500,,
KS-N-95,누수AS,,서비스,작업비,,실행가,실행가,,
KS-N-96,앙카,anchor,서비스,자재,,실행가,실행가,,
KS-N-97,수위센서,water level sensor,공용,,세탁기,실행가,실행가,,
KS-N-98,세제관,detergent tube,공용,,세탁기,실행가,실행가,,
KS-N-99,롯데기공AS,,서비스,작업비,,실행가,실행가,,
KS-N-100,유비씨엔AS,,서비스,작업비,,55000,55000,,
KS-N-101,리셋 스위치,reset switch,공용,,,,,,,
KS-N-102,USB,USB,IT,,IT장비,5000,6000,,
KS-N-13,출장비,,서비스,작업비,,77000,77000,,
KS-N-01,수리비,,서비스,작업비,,,,,,
KS-N-04,공용_급수펌프,water pump,공용,,,,실행가,,
KS-N-05,오디오 엠프,audio amp,공용,,,,실행가,,
KS-N-06,강화도어,,공용,,,,실행가,,
KS-N-08,에어컨,air conditioner,공용,,,,실행가,,
KS-N-09,키오스크 모니터,kiosk monitor,IT,,IT장비,,648000,,
KS-N-14,랜선,LAN cable,IT,,IT장비,,,,
KS-N-15,백룸 도어락,,공용,,,68000,82500,,
KS-N-16,자동문스위치,,공용,,,16000,20900,,
KS-N-17,공용_세제라인,,공용,,,,33000,,
KS-N-58,아두이노 전원어댑터,,IT,,IT장비,,6000,,
KS-VM-53,멀티_원격전원조정장치,,자판기,멀티,자판기,,,,
KS-VM-54,멀티_리프트부품,,자판기,멀티,자판기,,,,
KS-VM-55,멀티_스파이럴,spiral,자판기,멀티,자판기,,,,
KS-VM-56,일반_스파이럴,spiral,자판기,일반,자판기,,,,
KS-VM-57,멀티_브라켓,bracket,자판기,멀티,자판기,,,,
SV-N-18,건전지 구입,battery,공용,소모품,,,실행가,,
SV-N-02,확산등 교체,,공용,소모품,,,6000,,
SV-N-03,문풍지작업 (해충유입방지),,서비스,작업비,,,,,,
SV-N-04,공용_볼탑 15A,ball tap 15A,공용,,,실행가,330000,,
SV-N-05,공용_볼탑 20A,ball tap 20A,공용,,,실행가,330000,,
SV-N-06,공용_정수위밸브,,공용,,,실행가,330000,,
SV-N-07,통신용 공유기/허브,router/hub,IT,,IT장비,26000,35200,,
KS-SV-09,고객피해보상,,서비스,민원,,,,,,
