타임스탬프,부품 사진 첨부,브랜드 부품 식별 이름 (Full Name) - 해당 없으면 다음 질문에서 선택,일반/기타 부품 - 여기에도 없으면 다음 질문으로,위에도 다 없다! 직접 입력,제조사/공급업체 이름,적용 기기/모델,각인 또는 라벨 클로즈업 사진 (있는 경우),이 부품을 현장에서 뭐라고 부르나요? (여러 개면 쉼표로 구분),창고 선택,부품의 주요 기능 및 쓰임새,부품 사용 빈도수 평가
2026. 6. 17 오후 3:16:36,https://drive.google.com/open?id=1WrgOnDJIuJ9LtzCsMVCT_oMZ3kVU6F4l,KS-DN-21 | DN_공용_필터스위치,,,DN-다뉴브,"DN-다뉴브 건조기 1단, DN-다뉴브 건조기 2단",,,낙성대 백룸,,3
2026. 6. 17 오후 3:17:53,https://drive.google.com/open?id=1Cq_I2-CrvBXGmUEL1b4mBfLAr01lxpQZ,KS-WB-01 | WB_공용_에어댐퍼스위치,,,WB-우방,"WB-우방 건조기 1단, WB-우방 건조기 2단",,,낙성대 백룸,건조기 작동시 에어뎀퍼가 닫히면서 스위치를 눌러줌,3
2026. 6. 17 오후 3:21:49,"https://drive.google.com/open?id=1S0y0JkynyCuDdxQ8g5qPU95YwBN12l8d, https://drive.google.com/open?id=112ux9LpA-atFm5oXo-AaxFlVeiSGhYja",,,급수 솔레노이드 밸브 브라켓,WB-우방,"WB-우방 세탁기 30KG, WB-우방 세탁기 20KG",,,낙성대 백룸,,2
2026. 6. 17 오후 3:23:34,https://drive.google.com/open?id=1ZRaexq2YJXZgsM6fph5pqf-zEH7IX1d5,,,오픈물품_시리얼 케이블,키오스크에 쓰임,"키오스크, 일반자판기 서로 연결할때 ",,,개인 차량,"키오스크, 일반자판기 서로 연결할때 ",3
2026. 6. 17 오후 3:24:10,https://drive.google.com/open?id=13h-cDtJ3n0anTKdvg7ivm82kvxSAfM6Q,,,오픈물품_인터넷 랜선,랜선,랜선,,,개인 차량,,
2026. 6. 17 오후 3:26:25,https://drive.google.com/open?id=1spVDB-qnuc_Z0W-TLy7UJXgoSLTULQPz,,,KS-N-84 AB케이블,DN-다뉴브,"DN-다뉴브 세탁기 30KG, DN-다뉴브 세탁기 20KG, DN-다뉴브 건조기 1단, DN-다뉴브 건조기 2단",,,개인 차량,,
2026. 6. 17 오후 3:27:27,"https://drive.google.com/open?id=1-6-xO7giSSmTKQcEo2IsqEzPNg_DjHDq, https://drive.google.com/open?id=1iY1datds3nYbWLRsTbz5L3kGqo7TwMJ_, https://drive.google.com/open?id=1gT987CQ0q0DE5ZL7VC0QR5P2D4zIUi7W",KS-WB-43 | WB_1단_팬,,,WB-우방,WB-우방 건조기 1단,,,낙성대 백룸,,3
2026. 6. 17 오후 3:29:14,"https://drive.google.com/open?id=1oURLWLbrYknGy9vnDPSKOO4HL6-ZV0J0, https://drive.google.com/open?id=1HOSzpu7o5z977x7_vo9B0lpNYoAZNP8o, https://drive.google.com/open?id=1k9n8bRcJlVTH0pd-XDEwWsFcfYXAAK_J, https://drive.google.com/open?id=1z-NQAguTiAbOdFLFAStcZQ1cEe9JyN_r",KS-WB-47 | WB_공용_디스플레이,,디스플레이와 터치보드가 한번에 발주 해야 하는 형태인데 실제로 선지출은 따로 청구함,WB-우방,"WB-우방 세탁기 30KG, WB-우방 세탁기 20KG",,,낙성대 백룸,,3
2026. 6. 17 오후 3:30:08,"https://drive.google.com/open?id=1MYiCh43JmvLV5vIbSRDZHcdiIb6e8bzW, https://drive.google.com/open?id=1zx-ELiLLqjMb97eZDqoPmJK6GAAzNj22, https://drive.google.com/open?id=174Oqc9KqKwwwXk5ti_lsUHocHh0JEQqU, https://drive.google.com/open?id=1d-kHA6EeIEHUw8SILtGTGtE5jpj1I0Uw",KS-WB-48 | WB_공용_터치 보드,,디스플레이와 터치보드가 한번에 발주 해야 하는 형태인데 실제로 선지출은 따로 청구함,WB-우방,"WB-우방 세탁기 30KG, WB-우방 세탁기 20KG",,,낙성대 백룸,,3
2026. 6. 17 오후 3:31:06,"https://drive.google.com/open?id=10CMmX7JSG5tDhazLk3MHeZIP4jnnNPHw, https://drive.google.com/open?id=1WG9rlLyWxM3ysYLmKAn-ggmtHdIMIBsO, https://drive.google.com/open?id=1GYZGMBSU8hcwGRVX3VpytzOneynRSKHK, https://drive.google.com/open?id=1z9Ym68tOUw77227qnv858mffAjx3H-CG",KS-WB-03 | WB_공용_배수밸브,,,WB-우방,"WB-우방 세탁기 30KG, WB-우방 세탁기 20KG",,,낙성대 백룸,,3
2026. 6. 17 오후 3:32:08,"https://drive.google.com/open?id=1QZ3P6HpMn6_NF8IELbuTQ3Prd96aZsmd, https://drive.google.com/open?id=1Uuwf0rkFmbSvw2m0ek2gZWRfKLFPGHK0, https://drive.google.com/open?id=1c_gI6N2IqVjt1U9njPSUlGuaMiFhqcir",KS-N-69 | WB_2단_팬,,,WB-우방,WB-우방 건조기 2단,,,낙성대 백룸,,3
2026. 6. 17 오후 3:38:48,"https://drive.google.com/open?id=1N7wtA5yB8tLmlZoy3-mlJsG-nrg1F9iF, https://drive.google.com/open?id=1ORJ3b_811vYZNeNpVvxitrxCvGawvYtW, https://drive.google.com/open?id=1AVfTvWkU6I7n_4kIaeIoKTZoHUWoVJj-",KS-WB-05 | WB_공용_브이벨트,,,WB-우방,"WB-우방 세탁기 30KG, WB-우방 세탁기 20KG, WB-우방 건조기 1단, WB-우방 건조기 2단",,"20 세탁기- B-86
30 세탁기- B-84
2단 건조기- A-68 (많이쓰임)
1단 건조기 A68 1개, A58개 2개(1단 건조기에는 총 3개가 들어가는 구조)
1단건조기 A67",낙성대 백룸,"58, 68제외 하고는 구매해서 가야함(58, 68은 보통 구비되어 있음, 인터넷 구매) - 보통 상가 검색해서 현장구매(청계천이나 구로)",3
2026. 6. 17 오후 3:40:29,"https://drive.google.com/open?id=1RDpqjG34vNv2MPhMTUJrKRjb3VUdb2rj, https://drive.google.com/open?id=1a67Q4rYwIv6-T8MoGle-y6yvEUCe6f_f, https://drive.google.com/open?id=1ds7OCCiyrlDeMiELHi3RaxWKRRmIjNwo, https://drive.google.com/open?id=157brjs_J1_9Gd2YFxJdw_pfsenMJj4vA",SV-N-05 | 공용_볼탑 20A,,,물탱크 볼탑,물탱크,,,낙성대 백룸,,3
2026. 6. 17 오후 3:42:13,"https://drive.google.com/open?id=15uuf7QC-ZN2M2EoW1zPT48xnuqJ9ioTy, https://drive.google.com/open?id=1Bi4C9642jebIzFBbfLafsWc0lGqXCTQC, https://drive.google.com/open?id=1Nyn8O45ZqIg80K1y798t_Ru-CCqADzx4",SV-N-04 | 공용_볼탑 15A,,,물탱크,물탱크,,보통 연결부분만 쓰는 경우가 많음. 원이랑 막대는 종종 안쓸때가 생김(세트제품),낙성대 백룸,,3
2026. 6. 17 오후 3:47:43,"https://drive.google.com/open?id=1jvvzFxTzuf5pjViV4Lkrv-xrW28s52iC, https://drive.google.com/open?id=1FBrtI8QGd-y_sT3exzHBVqdb5nkl6igU, https://drive.google.com/open?id=1_oJN9Fk9gqVM-7JblTb4FmEvUP3JdOB8, https://drive.google.com/open?id=1vKutnRdmbMUwis-jrqT1rY_sIMHqXWRX",KS-WB-44 | WB_1단_팬모터,,,WB-우방,WB-우방 건조기 1단,,,낙성대 백룸,,3
